title,publish_date,media_name,url,cluster,UMAP1,UMAP2,title_total_frequency,title_date_frequency,publish_year,publish_month,publish_day,days_since_min,label,cluster_name
"""Hands Off!"" demonstrations protest Trump, Musk across U.S.",4/5/25,cbsnews.com,https://www.cbsnews.com/texas/news/trump-musk-hands-off-demonstrators-protest/,28,2.8148956,0.28928375,6,6,2025,4,5,1921,Hands Off! Protests,Hands Off! Protests
"""Hands Off!"" protest in Boston draws nearly 100,000 people rallying against Trump, Musk",4/6/25,cbsnews.com,https://www.cbsnews.com/boston/news/hands-off-protest-boston-massachusetts/,28,2.8292818,0.32200146,1,1,2025,4,6,1922,Hands Off! Protests,Hands Off! Protests
"""Hands Off!"": Americans across country protest Trump, Musk",4/5/25,cbsnews.com,https://www.cbsnews.com/pictures/hands-off-americans-across-country-protest-trump-musk-doge-photos/,28,2.8982735,0.30340195,1,1,2025,4,5,1921,Hands Off! Protests,Hands Off! Protests
"""Heinous loser"": Pedro Pascal bashes JK Rowling over anti-trans bigotry",4/24/25,salon.com,https://www.salon.com/2025/04/24/heinous-loser-pedro-pascal-bashes-jk-rowling-over-anti-trans-bigotry/,63,4.0045567,-4.6677284,1,1,2025,4,24,1940,Rowling Trans Controversy,Rowling Trans Controversy
"""I don't need to apologize"": Bishop who angered Trump with sermon speaks out",1/22/25,salon.com,https://www.salon.com/2025/01/22/i-dont-need-to-apologize-bishop-angered-with-sermon-speaks-out/,80,-2.2240028,4.491004,1,1,2025,1,22,1848,Bishops Mercy Plea,Bishops Mercy Plea
"""Jeopardy!"" champion Amy Schneider responds to transphobic comments",1/3/22,cbsnews.com,https://www.cbsnews.com/news/jeopardy-amy-schneider-transgender-comments/,85,6.697686,4.222637,1,1,2022,1,3,733,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!
"""Jokes are funny!"": Protesters crash walkout by Netflix workers over Chappelle special",10/20/21,hotair.com,https://hotair.com/allahpundit/2021/10/20/jokes-are-funny-protesters-crash-walkout-by-netflix-workers-over-chappelle-special-n423760,52,0.8633461,-8.123085,1,1,2021,10,20,658,Chappelle Controversy,Chappelle Controversy
"""Juno"" and ""Umbrella Academy"" actor Elliot Page comes out as transgender in heartfelt letter",12/1/20,salon.com,https://www.salon.com/2020/12/01/juno-and-umbrella-academy-actor-elliot-page-comes-out-as-transgender-in-heartfelt-letter_partner/,84,-5.815941,9.733288,3,3,2020,12,1,335,Elliot Page Comes Out,Elliot Page Comes Out
"""Juno"" star Elliot Page announces he is transgender",12/1/20,cbsnews.com,https://www.cbsnews.com/news/juno-star-elliot-page-announces-he-is-transgender/,84,3.0726242,-6.3296328,3,3,2020,12,1,335,Elliot Page Comes Out,Elliot Page Comes Out
"""Mandalorian"" actress Gina Carano sues Disney over firing",2/6/24,cbsnews.com,https://www.cbsnews.com/news/mandalorian-actress-gina-carano-sues-disney-over-firing-elon-musk/,18,7.1127863,-2.966525,1,1,2024,2,6,1497,Gina Carano Firing,Gina Carano Firing
"""Mental derangement"": Candace Owens slams Chrissy Teigen over teen bullying allegation",5/11/21,newsweek.com,https://www.newsweek.com/mental-derangement-candace-owens-slams-chrissy-teigen-over-teen-bullying-allegation-1590671,11,-1.3789043,-4.5085173,1,1,2021,5,11,496,Teigen Bullying Scandal,Teigen Bullying Scandal
"""Nobody's perfect"": Demi Lovato says she is again using she/her pronouns",8/2/22,newsweek.com,https://www.newsweek.com/nobodys-perfect-demi-lovato-changes-pronouns-again-1730252,45,-1.663547,-6.3619003,1,1,2022,8,2,944,Demi Lovatos Pronouns,Demi Lovatos Pronouns
"""Powerful and inspiring"": Elliot Page receives support and gratitude on social media after announcing he's trans",12/2/20,cbsnews.com,https://www.cbsnews.com/news/elliot-page-transgender-social-media-support/,84,3.1615496,-6.261306,3,3,2020,12,2,336,Elliot Page Comes Out,Elliot Page Comes Out
"""Selling Sunset"" star Chrishell Stause and singer G Flip are married",5/11/23,cbsnews.com,https://www.cbsnews.com/news/chrishell-stause-g-flip-are-married-selling-sunset-instagram-post-wedding/,10,5.0248766,8.224065,1,1,2023,5,11,1226,Chrishell Stause & G,Chrishell Stause & G
