id,homepage,domain,url_search_string,label,notes,platform,pub_country,pub_state,media_type,stories_per_week,first_story,primary_language,coverage_geography,coverage_primary_content,media_bias_allsides,1media_bias_ground_news,2voter_tweets,3voter_tweets,lean1,1lean,2lean,3lean,avgLean,aggLean
4415,http://www.cnet.com/,cnet.com,,cnet.com,,online_news,USA,,digital_native,623,,en,national,technology,center,center,center,center,0,0,0,0,0,center
1104,http://www.forbes.com/,forbes.com,,Forbes,,online_news,USA,,print_native,2253,,en,national,business,center,center,center,center,0,0,0,0,0,center
1105,http://fortune.com/,fortune.com,,fortune.com,,online_news,USA,,print_native,464,,en,national,business,center,center,center,,0,0,0,,0,center
20060,https://www.bizjournals.com,bizjournals.com,,bizjournals.com,,online_news,USA,,digital_native,,,en,national,business,center,,center,,0,,0,,0,center
370876,http://buy.barrons.com/,barrons.com,,buy.barrons.com,,online_news,,,,0,,,national,business,center,center,,center,0,0,,0,0,center
19562,http://www.marketwatch.com,marketwatch.com,,Market Watch,,online_news,USA,,,285,,en,national,business,center,center,lean right,center,0,0,1,0,0.3333333333,center
20273,http://www.ibtimes.com,ibtimes.com,,ibtimes.com,,online_news,,,,473,,,global,business,center,center,lean left,center,0,0,-1,0,-0.3333333333,center
18704,http://www.thewrap.com,thewrap.com,,The Wrap,,online_news,USA,,digital_native,315,,en,national,entertainment,center,lean left,center,center,0,-1,0,0,-0.3333333333,center
9,http://www.chicagotribune.com/,chicagotribune.com,,chicagotribune.com,,online_news,USA,US-IL,print_native,914,,,state,news,center,center,center,center,0,0,0,0,0,center
10,http://www.chron.com/,chron.com,,chron.com,,online_news,USA,US-TX,print_native,166,,en,state,news,center,center,center,center,0,0,0,0,0,center
13,http://www.newsday.com/,newsday.com,,Newsday,,online_news,USA,US-NY,print_native,1905,,,state,news,center,center,center,center,0,0,0,0,0,center
22,http://www.tampabay.com/,tampabay.com,,Tampa Bay Times,,online_news,USA,US-FL,print_native,254,,en,state,news,center,center,center,lean left,0,0,0,-1,-0.3333333333,center
36,http://www.jsonline.com/,jsonline.com,,Milwaukee Journal Sentinel,,online_news,USA,US-WI,print_native,294,,en,state,news,center,,center,center,0,,0,0,0,center
39,http://www.sun-sentinel.com/,sun-sentinel.com,,South Florida Sun-Sentinel,,online_news,USA,US-FL,print_native,497,,en,state,news,center,,center,lean left,0,,0,-1,-0.5,center
41,http://www.dispatch.com/,dispatch.com,,Columbus Dispatch,,online_news,USA,US-OH,print_native,231,,en,state,news,center,center,center,center,0,0,0,0,0,center
45,http://www.post-gazette.com/,post-gazette.com,,Pittsburgh Post-Gazette,,online_news,USA,US-PA,print_native,341,,en,state,news,center,center,lean left,center,0,0,-1,0,-0.3333333333,center
52,http://www.twincities.com/,twincities.com,,St.Paul Pioneer-Press,,online_news,USA,US-MN,print_native,1591,,en,state,news,center,center,center,center,0,0,0,0,0,center
54,http://www.omaha.com/,omaha.com,,Omaha World-Herald,,online_news,USA,US-NE,print_native,258,,en,state,news,center,center,lean right,center,0,0,1,0,0.3333333333,center
