title,publish_date,media_name,url,cluster,UMAP1,UMAP2,cluster_strategy,cluster_weight,title_total_frequency,title_date_frequency,publish_year,publish_month,publish_day,days_since_min
"""CBS Evening News"" headlines for Friday, April 24, 2020",4/24/20,cbsnews.com,http://feeds.cbsnews.com/~r/CBSNewsMain/~3/CzNM4fLoha8/,63,12.5251875,1.6197929,centroid_distance,0.2,2,2,2020,4,24,114
"""CBS Evening News"" headlines for Friday, January 3, 2020",1/3/20,cbsnews.com,http://feeds.cbsnews.com/~r/CBSNewsMain/~3/pt1GkzrcGyw/,63,12.521596,1.6283894,centroid_distance,0.2,2,2,2020,1,3,2
"""CBS Evening News"" headlines for Friday, June 12, 2020",6/12/20,cbsnews.com,http://feeds.cbsnews.com/~r/CBSNewsMain/~3/WkIHsRR7bd4/,63,12.518616,1.6240034,centroid_distance,0.2,1,1,2020,6,12,163
"""CBS Evening News"" headlines for Monday, August 17, 2020",8/17/20,cbsnews.com,https://www.cbsnews.com/video/cbs-evening-news-headlines-for-monday-august-17-2020/,63,12.514353,1.6120014,centroid_distance,0.2,1,1,2020,8,17,229
"""CBS Evening News"" headlines for Monday, December 21, 2020",12/21/20,cbsnews.com,https://www.cbsnews.com/video/cbs-evening-news-headlines-for-monday-december-21-2020/,63,12.515989,1.6235762,centroid_distance,0.2,1,1,2020,12,21,355
"""CBS Evening News"" headlines for Monday, January 25, 2021",1/25/21,cbsnews.com,https://www.cbsnews.com/video/cbs-evening-news-headlines-for-monday-january-25-2021/,63,12.517946,1.6183476,centroid_distance,0.2,1,1,2021,1,25,390
"""CBS Evening News"" headlines for Monday, March 2, 2020",3/2/20,cbsnews.com,https://www.cbsnews.com/video/cbs-evening-news-headlines-for-monday-march-2-2020/,63,12.515835,1.6251707,centroid_distance,0.2,2,2,2020,3,2,61
"""CBS Evening News"" headlines for Thursday, July 2, 2020",7/2/20,cbsnews.com,http://feeds.cbsnews.com/~r/CBSNewsMain/~3/4_m1c_zwSn0/,63,12.5171795,1.6260252,centroid_distance,0.2,2,2,2020,7,2,183
"""CBS Evening News"" headlines for Thursday, November 19, 2020",11/19/20,cbsnews.com,https://www.cbsnews.com/video/cbs-evening-news-headlines-for-thursday-november-19-2020/,63,12.519709,1.6274376,centroid_distance,0.2,1,1,2020,11,19,323
"""CBS Evening News"" headlines for Thursday, November 5, 2020",11/5/20,cbsnews.com,https://www.cbsnews.com/video/cbs-evening-news-headlines-for-thursday-november-5-2020/,63,12.527927,1.6200833,centroid_distance,0.2,1,1,2020,11,5,309
"""CBS Evening News"" headlines for Tuesday, December 1, 2020",12/1/20,cbsnews.com,https://www.cbsnews.com/video/cbs-evening-news-headlines-for-tuesday-december-1-2020/,63,12.515543,1.627223,centroid_distance,0.2,1,1,2020,12,1,335
